chg01,chg02,chg03,chg04,chg05,chg06,chg07,chg08,chg09,chg0a,chg0b,chg0c,chg0d,chg0e,chg0f,chg0g,chg0h,chg0j
#416 - MNH Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,9,15/07/2020,24/10/2023,next IOB meeting (scheduled: dd/mm/2019),scriptoremeum of cicero ofet,https://www.visualcinnamon.com/portfolio/sciam-satellite-surge,TBC,TBC,TBC,TBC
#352 - JER Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,14,15/11/2020,19/05/2022,next IOB meeting (scheduled: dd/mm/2019),ex verterem deserunteripuit ad id quo,https://elements.visualcapitalist.com/largest-oil-producers,TBC,TBC,TBC,TBC
#256 - RHF Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,10,15/02/2021,23/04/2023,approval from psc,bonorum tollit ullamcorperprobatus alia his sea,https://www.visualcapitalist.com/cp/visualizing-sp-500-performance-in-2022-by-sector,TBC,TBC,TBC,TBC
#256 - QJG Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,11,15/06/2020,13/10/2021,approval from psc,proident est auteex eu irure non,https://www.visualcapitalist.com/mapped-the-salary-you-need-to-buy-a-home-in-50-u-s-cities,TBC,TBC,TBC,TBC
#288 - JKQ Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,5,15/03/2021,11/06/2023,next IOB meeting (scheduled: dd/mm/2019),suscipit tempora suntut iste nihil dicta,https://www.visualcapitalist.com/problems-with-media,TBC,TBC,TBC,TBC
#464 - IGF Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,13,15/08/2021,08/12/2021,approval from psc,corrupti animi etsint ducimus debitis odio,https://www.visualcapitalist.com/best-and-worst-performing-us-stock-market-sectors-2022,TBC,TBC,TBC,TBC
#384 - FIN Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,8,15/07/2020,26/01/2023,next IOB meeting (scheduled: dd/mm/2019),has regione anat sit an dicam,https://www.visualcapitalist.com/map-explainer-ukraine,TBC,TBC,TBC,TBC
#352 - JRP Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,7,15/09/2021,30/05/2022,Awaiting Budget approval (expected dd/mm/2019),de de malorumet malorum malorum et,https://www.visualcinnamon.com/portfolio,TBC,TBC,TBC,TBC
#368 - GNF Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,6,15/01/2020,23/11/2023,next IOB meeting (scheduled: dd/mm/2019),primis epicurei corrumpitsit ei ridens oportere,https://www.visualcinnamon.com/portfolio/the-freedom-of-expression,TBC,TBC,TBC,TBC
#304 - JGI Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,5,15/08/2020,24/06/2023,Benefits signoff w' sponsor,has contentiones atcorpora liber cu mea,https://www.visualcinnamon.com/portfolio/kantar-motivemix,TBC,TBC,TBC,TBC
#448 - HGP Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,11,15/11/2021,07/04/2023,next IOB meeting (scheduled: dd/mm/2019),mentitum an erremerrem mentitum mei has,https://www.visualcinnamon.com/portfolio/lighthouse-reports-frontex,TBC,TBC,TBC,TBC
#464 - HKI Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,14,15/11/2020,28/12/2022,Benefits signoff w' sponsor,aeterno no homeronovum error principes tractatos,https://www.visualcinnamon.com/portfolio/new-york-times-digital-trackers,TBC,TBC,TBC,TBC
#416 - LQO Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,16,15/11/2020,30/10/2022,Awaiting Budget approval (expected dd/mm/2019),ea mei dicitalienum pri harum usu,https://d3-graph-gallery.com/graph/line_confidence_interval.html,TBC,TBC,TBC,TBC
#288 - OFL Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,9,15/01/2020,01/01/2023,Benefits signoff w' sponsor,ius in atperpetua ius no per,https://www.visualcinnamon.com/portfolio/adyen-report-2019,TBC,TBC,TBC,TBC
#288 - GMM Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,10,15/02/2020,16/11/2021,approval from psc,perpetua perpetua etperpetua brute omittam efficiantur,https://www.visualcinnamon.com/portfolio/janssen-product-portfolio,TBC,TBC,TBC,TBC
#336 - PFG Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,14,15/05/2019,29/04/2022,next IOB meeting (scheduled: dd/mm/2019),etcicero of et consectetur et voluptatem quam,https://d3-graph-gallery.com/bundle.html,TBC,TBC,TBC,TBC
#256 - JFO Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,14,15/03/2022,24/09/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",dignissim epicuri inermiseripuit adipiscing augue in,https://d3-graph-gallery.com/graph/arc_vertical.html,TBC,TBC,TBC,TBC
#288 - RJR Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,8,15/04/2021,19/11/2022,next IOB meeting (scheduled: dd/mm/2019),utroque saepe euhis facilis utroque vis,https://d3-graph-gallery.com/graph/arc_basic.html,TBC,TBC,TBC,TBC
#288 - MHE Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,5,15/06/2021,07/07/2022,Benefits signoff w' sponsor,tempor aliqua reprehenderitveniam ea labore exercitation,https://d3-graph-gallery.com/graph/arc_highlight.html,TBC,TBC,TBC,TBC
#368 - MFR Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,15,15/07/2019,23/08/2022,approval from psc,consequuntur adipisci commodi,https://d3-graph-gallery.com/chord.html,TBC,TBC,TBC,TBC
#416 - LMI Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,7,15/01/2020,10/11/2022,Awaiting Budget approval (expected dd/mm/2019),cumque et inquidem hic atque recusandae,https://d3-graph-gallery.com/network.html,TBC,TBC,TBC,TBC
#416 - RIG Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,15,15/08/2022,07/11/2021,"pending IQA review, PM follow-up NLT dd/mm/2019",facilisi regione cumvis regione dicam pro,https://d3-graph-gallery.com/sankey.html,TBC,TBC,TBC,TBC
#336 - NIH Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,7,15/04/2022,09/07/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",malorum et etmalorum finibus de de,https://d3-graph-gallery.com/arc.html,TBC,TBC,TBC,TBC
#480 - JGM Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,15,15/05/2019,05/04/2023,next IOB meeting (scheduled: dd/mm/2019),persius dolore nosit comprehensam ubique agam,https://d3-graph-gallery.com/bundle.html,TBC,TBC,TBC,TBC
#480 - HHI Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,9,15/07/2020,21/01/2022,next IOB meeting (scheduled: dd/mm/2019),contentiones nihil tantasscriptorem et at detraxit,https://www.visualcinnamon.com/portfolio/lighthouse-reports-frontex,TBC,TBC,TBC,TBC
#320 - RIP Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,9,15/11/2021,18/07/2022,Awaiting Budget approval (expected dd/mm/2019),id te virtutepro mea quidam minimum,https://www.visualcinnamon.com/portfolio/top2000,TBC,TBC,TBC,TBC
#352 - FLM Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,10,15/11/2020,24/06/2022,"pending IQA review, PM follow-up NLT dd/mm/2019",et nec vimpersius temporibus nec aeterno,https://d3-graph-gallery.com/stackedarea.html,TBC,TBC,TBC,TBC
#272 - QRN Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,11,15/08/2020,22/01/2023,Awaiting Budget approval (expected dd/mm/2019),alienum quo sanctusno pri adipiscing apeirian,https://d3-graph-gallery.com/graph/area_lineDot.html,TBC,TBC,TBC,TBC
#464 - RQH Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,14,15/04/2021,22/02/2022,approval from psc,per democritum nodemocritum et ex et,https://d3-graph-gallery.com/graph/line_confidence_interval.html,TBC,TBC,TBC,TBC
#480 - MKM Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,15,15/08/2020,19/07/2022,approval from psc,consulatu doctus nonumynam efficiantur vix nam,https://www.visualcinnamon.com/portfolio/swayable-preferential-polling,TBC,TBC,TBC,TBC
#368 - KRK Project,NON-LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,6,15/11/2019,08/09/2022,next IOB meeting (scheduled: dd/mm/2019),postea deserunt eumeum feugait feugait postea,https://www.visualcinnamon.com/2015/01/the-top-2000-equalizer-songs,TBC,TBC,TBC,TBC
#480 - IPP Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,9,15/05/2021,30/12/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",vim dico exdico augue no his,https://www.visualcinnamon.com/portfolio/the-freedom-of-expression,TBC,TBC,TBC,TBC
#480 - OME Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,5,15/12/2021,18/06/2023,next IOB meeting (scheduled: dd/mm/2019),alia alia consequunturmel eu bonorum eu,https://www.visualcinnamon.com/portfolio/urbanization,TBC,TBC,TBC,TBC
#464 - LEK Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,16,15/05/2021,20/07/2023,Benefits signoff w' sponsor,aliqua ut nondeserunt exercitation ad proident,https://www.visualcinnamon.com/portfolio/exoplanet-neighbors,TBC,TBC,TBC,TBC
#448 - HGE Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,11,15/07/2021,06/02/2022,Awaiting Budget approval (expected dd/mm/2019),error pariatur? laboriosamamet illo dolor ad,https://www.visualcinnamon.com/portfolio/body-temperature,TBC,TBC,TBC,TBC
#336 - EEL Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,13,15/02/2022,24/06/2023,Benefits signoff w' sponsor,et autem hicofficia quos qui omnis,https://www.visualcinnamon.com/portfolio/royal-constellations,TBC,TBC,TBC,TBC
#336 - FMN Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,15,15/01/2021,25/09/2023,approval from psc,nec ut uthas facilisi splendide nec,https://www.visualcinnamon.com/portfolio/breathing-earth,TBC,TBC,TBC,TBC
#288 - LJE Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,12,15/05/2021,12/04/2023,next IOB meeting (scheduled: dd/mm/2019),bonorum finibus finibusde malorum bonorum malorum,https://www.visualcapitalist.com/our-top-22-visualizations-of-2022,TBC,TBC,TBC,TBC
#448 - IEK Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,8,15/04/2021,22/10/2023,next IOB meeting (scheduled: dd/mm/2019),elit case meisuas persius vivendo et,https://elements.visualcapitalist.com/animation-visualizing-the-worlds-biggest-wind-turbines,TBC,TBC,TBC,TBC
#464 - INO Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,14,15/09/2021,21/01/2022,approval from psc,tibique soleat atex et ei ad,https://elements.visualcapitalist.com/largest-oil-producers,TBC,TBC,TBC,TBC
#480 - PMH Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,6,15/10/2021,27/09/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",prompta cu utex salutandi cu tation,https://www.visualcapitalist.com/cp/visualizing-sp-500-performance-in-2022-by-sector,TBC,TBC,TBC,TBC
#288 - OQI Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,10,15/03/2022,22/02/2022,approval from psc,et error ferriiudicabit mea vix euismod,https://www.visualcapitalist.com/mapped-the-salary-you-need-to-buy-a-home-in-50-u-s-cities,TBC,TBC,TBC,TBC
#480 - ENQ Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,10,15/01/2021,01/11/2022,approval from psc,posse no pertinaciacomprehensam posse deserunt quodsi,https://www.visualcapitalist.com/problems-with-media,TBC,TBC,TBC,TBC
#288 - GHR Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,6,15/06/2021,08/06/2022,Awaiting Budget approval (expected dd/mm/2019),per qui rectequeius at perfecto eum,https://www.visualcapitalist.com/best-and-worst-performing-us-stock-market-sectors-2022,TBC,TBC,TBC,TBC
#240 - JGL Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,5,15/05/2021,29/04/2023,Awaiting Budget approval (expected dd/mm/2019),omittam consulatu explicariperpetua nam nihil efficiantur,https://www.visualcapitalist.com/map-explainer-ukraine,TBC,TBC,TBC,TBC
#400 - OGM Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,11,15/02/2020,13/10/2022,"pending IQA review, PM follow-up NLT dd/mm/2019",postea deserunt eumeum feugait feugait postea,https://www.visualcapitalist.com/infographic-timeline-10-years-of-tinder,TBC,TBC,TBC,TBC
#288 - QQL Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,4,15/07/2019,01/03/2022,Awaiting Budget approval (expected dd/mm/2019),dico verterem adipiscingepicuri mandamus dico deserunt,https://www.visualcapitalist.com/cp/visualizing-earths-seasons,TBC,TBC,TBC,TBC
#320 - LLK Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,5,15/06/2020,10/12/2023,approval from psc,probatus vis consequuntureu probatus natum eloquentiam,https://www.visualcapitalist.com/disruptive-materials-visualizing-americas-import-dependency,TBC,TBC,TBC,TBC
#272 - LRQ Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,7,15/08/2021,18/07/2023,Benefits signoff w' sponsor,dolor magna laborumdolore aliquip in eiusmod,https://www.visualcinnamon.com/portfolio/landscape-of-power-flows,TBC,TBC,TBC,TBC
#336 - OML Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,13,15/10/2022,20/12/2021,approval from psc,salutandi ex quaerendumgloriatur pro stet gloriatur,https://www.visualcinnamon.com/portfolio/small-world-of-words,TBC,TBC,TBC,TBC
#272 - NNM Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,9,15/05/2020,08/12/2023,Awaiting Budget approval (expected dd/mm/2019),aeterno eleifend minimumferri et ferri nemore,https://www.visualcinnamon.com/portfolio/sony-music-data-art,TBC,TBC,TBC,TBC
#416 - JLM Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,6,15/12/2019,27/07/2022,Benefits signoff w' sponsor,cibo quo cibocum debitis quod an,https://www.visualcinnamon.com/portfolio/top2000,TBC,TBC,TBC,TBC
#304 - QEO Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,14,15/02/2021,02/05/2022,Benefits signoff w' sponsor,vis at quimalorum in at vis,https://www.visualcinnamon.com/portfolio/oecd-global-plastics-outlook,TBC,TBC,TBC,TBC
#400 - ORO Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,7,15/04/2022,17/08/2023,approval from psc,natum pertinax noaudiam no patrioque cu,https://www.visualcinnamon.com/portfolio/why-do-cats-and-dogs,TBC,TBC,TBC,TBC
#416 - GNN Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,16,15/01/2022,07/12/2023,approval from psc,bonorum written consectetur et voluptatem quam,https://www.visualcinnamon.com/portfolio/urbanization,TBC,TBC,TBC,TBC
#368 - OPH Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,14,15/06/2019,07/02/2022,Awaiting Budget approval (expected dd/mm/2019),postea deserunt eumeum feugait feugait postea,https://d3-graph-gallery.com/interactivity.html,TBC,TBC,TBC,TBC
#432 - EGQ Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,11,15/10/2019,19/10/2021,Awaiting Budget approval (expected dd/mm/2019),saepe et insolenseu alia oportere sea,https://d3-graph-gallery.com/pie.html,TBC,TBC,TBC,TBC
#464 - NEI Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,10,15/05/2020,16/06/2023,Benefits signoff w' sponsor,vel inventore omnisipsa doloremque neque natus,https://d3-graph-gallery.com/donut.html,TBC,TBC,TBC,TBC
#336 - KQR Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,16,15/05/2022,06/08/2023,approval from psc,quos id molestiasest reiciendis distinctio dolores,https://d3-graph-gallery.com/treemap.html,TBC,TBC,TBC,TBC
#272 - ORM Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,12,15/06/2022,25/12/2023,next IOB meeting (scheduled: dd/mm/2019),an discere dicamdisputando ut sit falli,https://d3-graph-gallery.com/graph/circularpacking_template.html,TBC,TBC,TBC,TBC
#464 - FRJ Project,NON-LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,12,15/11/2019,29/12/2022,Awaiting Budget approval (expected dd/mm/2019),finibus et etfinibus et finibus finibus,https://d3-graph-gallery.com/circularpacking.html,TBC,TBC,TBC,TBC
#320 - OFK Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,6,15/12/2020,03/09/2023,Benefits signoff w' sponsor,has agam ridensapeirian mei fugit corrumpit,https://d3-graph-gallery.com/custom.html,TBC,TBC,TBC,TBC
#336 - JRI Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,11,15/05/2022,25/11/2021,approval from psc,ex liber detraxitsea veniam qui sea,https://d3-graph-gallery.com/intro_d3js.html,TBC,TBC,TBC,TBC
#320 - FRP Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,13,15/04/2020,21/12/2021,"pending IQA review, PM follow-up NLT dd/mm/2019",molestiae graeci molestiae,https://d3-graph-gallery.com/streamgraph.html,TBC,TBC,TBC,TBC
#336 - LMH Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,14,15/04/2021,25/02/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",vim doming necet adversarium habemus ad,https://d3-graph-gallery.com/network.html,TBC,TBC,TBC,TBC
#416 - KJN Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,11,15/06/2019,06/02/2023,"pending IQA review, PM follow-up NLT dd/mm/2019",an cibo quovix vim mei sanctus,https://www.visualcinnamon.com/portfolio/the-freedom-of-expression,TBC,TBC,TBC,TBC
#384 - EQP Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,4,15/04/2021,21/01/2022,approval from psc,perfecto per suscipianturqui eum perfecto at,https://www.visualcinnamon.com/portfolio/urbanization,TBC,TBC,TBC,TBC
#480 - QGK Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,15,15/02/2020,20/10/2021,Awaiting Budget approval (expected dd/mm/2019),omittam porro tevix nec perpetua perpetua,https://d3-graph-gallery.com/graph/area_smallmultiple.html,TBC,TBC,TBC,TBC
#336 - OHM Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,14,15/02/2021,09/07/2023,Awaiting Budget approval (expected dd/mm/2019),bonorum cicero bcof written et bc,https://d3-graph-gallery.com/graph/area_basic.html,TBC,TBC,TBC,TBC
#272 - PRN Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,6,15/03/2021,07/03/2023,Awaiting Budget approval (expected dd/mm/2019),in in adipiscingadipiscing vel adipiscing feugait,https://d3-graph-gallery.com/area.html,TBC,TBC,TBC,TBC
#416 - RLR Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,9,15/01/2020,19/04/2022,Benefits signoff w' sponsor,latine posse visutroque posse vis epicuri,https://d3-graph-gallery.com/graph/line_color_gradient_svg.html,TBC,TBC,TBC,TBC
#416 - KQN Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,11,15/09/2020,09/06/2022,approval from psc,elit minim sitsit quis qui in,https://d3-graph-gallery.com/graph/shape.html,TBC,TBC,TBC,TBC
#320 - QIE Project,NON-LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,14,15/05/2022,07/03/2023,approval from psc,fugiat magni omnisenim eius vel aliquam,https://www.data-to-viz.com/caveats.html,TBC,TBC,TBC,TBC
#480 - NLO Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,16,15/01/2020,27/07/2022,next IOB meeting (scheduled: dd/mm/2019),dolores alias etpossimus et et placeat,https://d3-graph-gallery.com/line.html,TBC,TBC,TBC,TBC
#432 - KNH Project,LTIP,PDS / HRG,18/06/2019,Development,TBC,TBC,TBC,15,15/02/2022,04/04/2023,next IOB meeting (scheduled: dd/mm/2019),in discere inan dolores scaevola ut,https://www.visualcinnamon.com/portfolio/top2000,TBC,TBC,TBC,TBC
#352 - QEN Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,5,15/06/2020,16/11/2021,next IOB meeting (scheduled: dd/mm/2019),de bonorum bonorum,https://www.visualcinnamon.com/portfolio/kantar-motivemix,TBC,TBC,TBC,TBC
#432 - OKP Project,LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,11,15/05/2020,19/10/2022,Awaiting Budget approval (expected dd/mm/2019),eos has sitvidit dolore ei diceret,https://d3-graph-gallery.com/sankey.html,TBC,TBC,TBC,TBC
#272 - FRH Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,13,15/06/2021,31/01/2022,next IOB meeting (scheduled: dd/mm/2019),an ei propriaenihil virtute an ad,https://www.visualcinnamon.com/portfolio/new-york-times-digital-trackers,TBC,TBC,TBC,TBC
#320 - EPE Project,LTIP,PDS / HRG,18/06/2019,Benefits realisation,TBC,TBC,TBC,8,15/10/2021,01/11/2022,Awaiting Budget approval (expected dd/mm/2019),prompta ut idstet et minimum pro,https://www.visualcinnamon.com/portfolio,TBC,TBC,TBC,TBC
#336 - QJQ Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,13,15/07/2021,27/01/2023,approval from psc,eleifend nec utet tractatos eu et,https://www.visualcinnamon.com/portfolio/sciam-fermi-paradox,TBC,TBC,TBC,TBC
#256 - NMN Project,NON-LTIP,PDS / HRG,18/06/2019,Investigation,TBC,TBC,TBC,15,15/02/2021,03/05/2022,approval from psc,sanctus an seaharum te pertinacia quodsi,https://www.visualcinnamon.com/portfolio/top-2000-let-music-play,TBC,TBC,TBC,TBC
#384 - GMN Project,LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,12,15/10/2019,27/07/2023,Benefits signoff w' sponsor,eum per euminstructior in eum perfecto,https://www.visualcinnamon.com/portfolio/new-york-times-digital-trackers,TBC,TBC,TBC,TBC
#448 - RQE Project,NON-LTIP,PDS / HRG,18/06/2019,Implementation,TBC,TBC,TBC,14,15/08/2020,19/05/2023,Benefits signoff w' sponsor,pertinax nec audiamduo deseruisse at nam,https://d3-graph-gallery.com/intro_d3js.html,TBC,TBC,TBC,TBC
#480 - IFE Project,NON-LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,9,15/09/2020,02/05/2022,next IOB meeting (scheduled: dd/mm/2019),aquidem placeat eveniet deleniti,https://d3-graph-gallery.com/graph/line_confidence_interval.html,TBC,TBC,TBC,TBC
#432 - FMG Project,LTIP,PDS / HRG,18/06/2019,Pipeline,TBC,TBC,TBC,12,15/08/2021,27/07/2022,"pending IQA review, PM follow-up NLT dd/mm/2019",vim ad mandamusoblique oblique deserunt dico,https://d3-graph-gallery.com/stackedarea.html,TBC,TBC,TBC,TBC
